GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geographical Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,,United States,51371,53
0100000US,,United States,0400000US24,24,1,Maryland,71122,579
0100000US,,United States,0400000US34,34,2,New Jersey,69667,716
0100000US,,United States,0400000US02,02,3,Alaska,67712,1894
0100000US,,United States,0400000US09,09,4,Connecticut,67276,865
0100000US,,United States,0400000US11,11,5,District of Columbia,66583,2040
0100000US,,United States,0400000US15,15,6,Hawaii,66259,1628
0100000US,,United States,0400000US25,25,7,Massachusetts,65339,645
0100000US,,United States,0400000US33,33,8,New Hampshire,63280,1537
0100000US,,United States,0400000US51,51,9,Virginia,61741,410
0100000US,,United States,0400000US27,27,10,Minnesota,58906,668
0100000US,,United States,0400000US10,10,11,Delaware,58415,1593
0100000US,,United States,0400000US06,06,12,California,58328,354
0100000US,,United States,0400000US53,53,13,Washington,57573,595
0100000US,,United States,0400000US49,49,14,Utah,57049,737
0100000US,,United States,0400000US08,08,15,Colorado,56765,594
0100000US,,United States,0400000US36,36,16,New York,56448,371
0100000US,,United States,0400000US17,17,17,Illinois,55137,408
0100000US,,United States,0400000US56,56,18,Wyoming,54901,1491
0100000US,,United States,0400000US44,44,19,Rhode Island,54554,1789
0100000US,,United States,0400000US38,38,20,North Dakota,53585,1546
0100000US,,United States,0400000US50,50,21,Vermont,52977,1259
0100000US,,United States,0400000US42,42,22,Pennsylvania,51230,265
0100000US,,United States,0400000US55,55,23,Wisconsin,51059,321
0100000US,,United States,0400000US19,19,24,Iowa,50957,431
0100000US,,United States,0400000US48,48,25,Texas,50740,267
0100000US,,United States,0400000US31,31,26,Nebraska,50723,577
0100000US,,United States,0400000US20,20,27,Kansas,50241,520
0100000US,,United States,0400000US32,32,28,Nevada,49760,826
0100000US,,United States,0400000US41,41,29,Oregon,49161,807
0100000US,,United States,0400000US46,46,30,South Dakota,48362,974
0100000US,,United States,0400000US04,04,31,Arizona,47826,604
0100000US,,United States,0400000US13,13,32,Georgia,47209,378
0100000US,,United States,0400000US18,18,33,Indiana,46974,421
0100000US,,United States,0400000US26,26,34,Michigan,46859,331
0100000US,,United States,0400000US39,39,35,Ohio,46829,293
0100000US,,United States,0400000US23,23,36,Maine,46709,898
0100000US,,United States,0400000US16,16,37,Idaho,45489,929
0100000US,,United States,0400000US29,29,38,Missouri,45321,418
0100000US,,United States,0400000US37,37,39,North Carolina,45150,391
0100000US,,United States,0400000US30,30,40,Montana,45076,1092
0100000US,,United States,0400000US12,12,41,Florida,45040,345
0100000US,,United States,0400000US40,40,42,Oklahoma,44312,462
0100000US,,United States,0400000US45,45,43,South Carolina,43107,660
0100000US,,United States,0400000US22,22,44,Louisiana,42944,680
0100000US,,United States,0400000US47,47,45,Tennessee,42764,579
0100000US,,United States,0400000US35,35,46,New Mexico,42558,902
0100000US,,United States,0400000US21,21,47,Kentucky,41724,419
0100000US,,United States,0400000US01,01,48,Alabama,41574,477
0100000US,,United States,0400000US54,54,49,West Virginia,40196,697
0100000US,,United States,0400000US05,05,50,Arkansas,40112,497
0100000US,,United States,0400000US28,28,51,Mississippi,37095,584
0100000US,,United States,0400000US72,72,,Puerto Rico,19429,325
