"";"date";"hits";"keyword";"geo";"gprop";"category"
"1";2010-12-31 23:00:00;53;"eat";"US";"web";0
"2";2011-01-31 23:00:00;50;"eat";"US";"web";0
"3";2011-02-28 23:00:00;52;"eat";"US";"web";0
"4";2011-03-31 22:00:00;56;"eat";"US";"web";0
"5";2011-04-30 22:00:00;57;"eat";"US";"web";0
"6";2011-05-31 22:00:00;56;"eat";"US";"web";0
"7";2011-06-30 22:00:00;57;"eat";"US";"web";0
"8";2011-07-31 22:00:00;56;"eat";"US";"web";0
"9";2011-08-31 22:00:00;55;"eat";"US";"web";0
"10";2011-09-30 22:00:00;52;"eat";"US";"web";0
"11";2011-10-31 23:00:00;51;"eat";"US";"web";0
"12";2011-11-30 23:00:00;50;"eat";"US";"web";0
"13";2011-12-31 23:00:00;57;"eat";"US";"web";0
"14";2012-01-31 23:00:00;56;"eat";"US";"web";0
"15";2012-02-29 23:00:00;60;"eat";"US";"web";0
"16";2012-03-31 22:00:00;63;"eat";"US";"web";0
"17";2012-04-30 22:00:00;64;"eat";"US";"web";0
"18";2012-05-31 22:00:00;64;"eat";"US";"web";0
"19";2012-06-30 22:00:00;64;"eat";"US";"web";0
"20";2012-07-31 22:00:00;61;"eat";"US";"web";0
"21";2012-08-31 22:00:00;59;"eat";"US";"web";0
"22";2012-09-30 22:00:00;55;"eat";"US";"web";0
"23";2012-10-31 23:00:00;54;"eat";"US";"web";0
"24";2012-11-30 23:00:00;54;"eat";"US";"web";0
"25";2012-12-31 23:00:00;63;"eat";"US";"web";0
"26";2013-01-31 23:00:00;62;"eat";"US";"web";0
"27";2013-02-28 23:00:00;66;"eat";"US";"web";0
"28";2013-03-31 22:00:00;69;"eat";"US";"web";0
"29";2013-04-30 22:00:00;69;"eat";"US";"web";0
"30";2013-05-31 22:00:00;71;"eat";"US";"web";0
"31";2013-06-30 22:00:00;70;"eat";"US";"web";0
"32";2013-07-31 22:00:00;67;"eat";"US";"web";0
"33";2013-08-31 22:00:00;63;"eat";"US";"web";0
"34";2013-09-30 22:00:00;61;"eat";"US";"web";0
"35";2013-10-31 23:00:00;61;"eat";"US";"web";0
"36";2013-11-30 23:00:00;56;"eat";"US";"web";0
"37";2013-12-31 23:00:00;65;"eat";"US";"web";0
"38";2014-01-31 23:00:00;64;"eat";"US";"web";0
"39";2014-02-28 23:00:00;68;"eat";"US";"web";0
"40";2014-03-31 22:00:00;71;"eat";"US";"web";0
"41";2014-04-30 22:00:00;72;"eat";"US";"web";0
"42";2014-05-31 22:00:00;70;"eat";"US";"web";0
"43";2014-06-30 22:00:00;73;"eat";"US";"web";0
"44";2014-07-31 22:00:00;67;"eat";"US";"web";0
"45";2014-08-31 22:00:00;63;"eat";"US";"web";0
"46";2014-09-30 22:00:00;62;"eat";"US";"web";0
"47";2014-10-31 23:00:00;62;"eat";"US";"web";0
"48";2014-11-30 23:00:00;60;"eat";"US";"web";0
"49";2014-12-31 23:00:00;67;"eat";"US";"web";0
"50";2015-01-31 23:00:00;66;"eat";"US";"web";0
"51";2015-02-28 23:00:00;71;"eat";"US";"web";0
"52";2015-03-31 22:00:00;75;"eat";"US";"web";0
"53";2015-04-30 22:00:00;75;"eat";"US";"web";0
"54";2015-05-31 22:00:00;77;"eat";"US";"web";0
"55";2015-06-30 22:00:00;80;"eat";"US";"web";0
"56";2015-07-31 22:00:00;75;"eat";"US";"web";0
"57";2015-08-31 22:00:00;71;"eat";"US";"web";0
"58";2015-09-30 22:00:00;71;"eat";"US";"web";0
"59";2015-10-31 23:00:00;68;"eat";"US";"web";0
"60";2015-11-30 23:00:00;66;"eat";"US";"web";0
"61";2015-12-31 23:00:00;76;"eat";"US";"web";0
"62";2016-01-31 23:00:00;77;"eat";"US";"web";0
"63";2016-02-29 23:00:00;81;"eat";"US";"web";0
"64";2016-03-31 22:00:00;82;"eat";"US";"web";0
"65";2016-04-30 22:00:00;86;"eat";"US";"web";0
"66";2016-05-31 22:00:00;86;"eat";"US";"web";0
"67";2016-06-30 22:00:00;85;"eat";"US";"web";0
"68";2016-07-31 22:00:00;78;"eat";"US";"web";0
"69";2016-08-31 22:00:00;76;"eat";"US";"web";0
"70";2016-09-30 22:00:00;76;"eat";"US";"web";0
"71";2016-10-31 23:00:00;72;"eat";"US";"web";0
"72";2016-11-30 23:00:00;72;"eat";"US";"web";0
"73";2016-12-31 23:00:00;83;"eat";"US";"web";0
"74";2017-01-31 23:00:00;83;"eat";"US";"web";0
"75";2017-02-28 23:00:00;89;"eat";"US";"web";0
"76";2017-03-31 22:00:00;92;"eat";"US";"web";0
"77";2017-04-30 22:00:00;93;"eat";"US";"web";0
"78";2017-05-31 22:00:00;95;"eat";"US";"web";0
"79";2017-06-30 22:00:00;100;"eat";"US";"web";0
"80";2017-07-31 22:00:00;89;"eat";"US";"web";0
"81";2017-08-31 22:00:00;81;"eat";"US";"web";0
"82";2017-09-30 22:00:00;81;"eat";"US";"web";0
"83";2017-10-31 23:00:00;79;"eat";"US";"web";0
"84";2017-11-30 23:00:00;81;"eat";"US";"web";0
