GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geographical Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,,United States,52250,65
0100000US,,United States,0400000US24,24,1,Maryland,72483,718
0100000US,,United States,0400000US02,02,2,Alaska,72237,1892
0100000US,,United States,0400000US34,34,3,New Jersey,70165,546
0100000US,,United States,0400000US15,15,4,Hawaii,68020,1523
0100000US,,United States,0400000US11,11,5,District of Columbia,67572,3383
0100000US,,United States,0400000US09,09,6,Connecticut,67098,1058
0100000US,,United States,0400000US25,25,7,Massachusetts,66768,715
0100000US,,United States,0400000US33,33,8,New Hampshire,64230,1347
0100000US,,United States,0400000US51,51,9,Virginia,62666,665
0100000US,,United States,0400000US27,27,10,Minnesota,60702,432
0100000US,,United States,0400000US06,06,11,California,60190,255
0100000US,,United States,0400000US49,49,12,Utah,59770,762
0100000US,,United States,0400000US08,08,13,Colorado,58823,808
0100000US,,United States,0400000US56,56,14,Wyoming,58752,1796
0100000US,,United States,0400000US53,53,15,Washington,58405,671
0100000US,,United States,0400000US10,10,16,Delaware,57846,1876
0100000US,,United States,0400000US36,36,17,New York,57369,431
0100000US,,United States,0400000US17,17,18,Illinois,56210,403
0100000US,,United States,0400000US44,44,19,Rhode Island,55902,1902
0100000US,,United States,0400000US38,38,20,North Dakota,55759,1452
0100000US,,United States,0400000US50,50,21,Vermont,52578,1561
0100000US,,United States,0400000US19,19,22,Iowa,52229,533
0100000US,,United States,0400000US42,42,23,Pennsylvania,52007,256
0100000US,,United States,0400000US48,48,24,Texas,51704,238
0100000US,,United States,0400000US55,55,25,Wisconsin,51467,370
0100000US,,United States,0400000US31,31,26,Nebraska,51440,493
0100000US,,United States,0400000US32,32,27,Nevada,51230,589
0100000US,,United States,0400000US20,20,28,Kansas,50972,609
0100000US,,United States,0400000US41,41,29,Oregon,50251,532
0100000US,,United States,0400000US46,46,30,South Dakota,48947,1091
0100000US,,United States,0400000US04,04,31,Arizona,48510,587
0100000US,,United States,0400000US26,26,32,Michigan,48273,378
0100000US,,United States,0400000US39,39,33,Ohio,48081,406
0100000US,,United States,0400000US13,13,34,Georgia,47829,628
0100000US,,United States,0400000US18,18,35,Indiana,47529,516
0100000US,,United States,0400000US23,23,36,Maine,46974,797
0100000US,,United States,0400000US30,30,37,Montana,46972,1140
0100000US,,United States,0400000US29,29,38,Missouri,46931,427
0100000US,,United States,0400000US16,16,39,Idaho,46783,930
0100000US,,United States,0400000US12,12,40,Florida,46036,310
0100000US,,United States,0400000US37,37,41,North Carolina,45906,424
0100000US,,United States,0400000US40,40,42,Oklahoma,45690,534
0100000US,,United States,0400000US47,47,43,Tennessee,44297,501
0100000US,,United States,0400000US22,22,44,Louisiana,44164,869
0100000US,,United States,0400000US45,45,45,South Carolina,44163,659
0100000US,,United States,0400000US35,35,46,New Mexico,43872,950
0100000US,,United States,0400000US21,21,47,Kentucky,43399,650
0100000US,,United States,0400000US01,01,48,Alabama,42849,641
0100000US,,United States,0400000US54,54,49,West Virginia,41253,746
0100000US,,United States,0400000US05,05,50,Arkansas,40511,710
0100000US,,United States,0400000US28,28,51,Mississippi,37963,1029
0100000US,,United States,0400000US72,72,,Puerto Rico,19183,313
