GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geographical Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,,United States,50502,73
0100000US,,United States,0400000US24,24,1,Maryland,70004,804
0100000US,,United States,0400000US02,02,2,Alaska,67825,1948
0100000US,,United States,0400000US34,34,3,New Jersey,67458,721
0100000US,,United States,0400000US09,09,4,Connecticut,65753,854
0100000US,,United States,0400000US11,11,5,District of Columbia,63124,2407
0100000US,,United States,0400000US25,25,6,Massachusetts,62859,902
0100000US,,United States,0400000US33,33,7,New Hampshire,62647,1415
0100000US,,United States,0400000US51,51,8,Virginia,61882,507
0100000US,,United States,0400000US15,15,9,Hawaii,61821,1035
0100000US,,United States,0400000US10,10,10,Delaware,58814,1586
0100000US,,United States,0400000US06,06,11,California,57287,279
0100000US,,United States,0400000US27,27,12,Minnesota,56954,488
0100000US,,United States,0400000US53,53,13,Washington,56835,569
0100000US,,United States,0400000US56,56,14,Wyoming,56322,1890
0100000US,,United States,0400000US49,49,15,Utah,55869,805
0100000US,,United States,0400000US08,08,16,Colorado,55387,605
0100000US,,United States,0400000US36,36,17,New York,55246,398
0100000US,,United States,0400000US44,44,18,Rhode Island,53636,1699
0100000US,,United States,0400000US17,17,19,Illinois,53234,511
0100000US,,United States,0400000US50,50,20,Vermont,52776,1420
0100000US,,United States,0400000US38,38,21,North Dakota,51704,1260
0100000US,,United States,0400000US55,55,22,Wisconsin,50395,428
0100000US,,United States,0400000US31,31,23,Nebraska,50296,687
0100000US,,United States,0400000US42,42,24,Pennsylvania,50228,292
0100000US,,United States,0400000US19,19,25,Iowa,49427,693
0100000US,,United States,0400000US48,48,26,Texas,49392,391
0100000US,,United States,0400000US20,20,27,Kansas,48964,756
0100000US,,United States,0400000US32,32,28,Nevada,48927,1020
0100000US,,United States,0400000US46,46,29,South Dakota,48321,1598
0100000US,,United States,0400000US41,41,30,Oregon,46816,711
0100000US,,United States,0400000US04,04,31,Arizona,46709,554
0100000US,,United States,0400000US18,18,32,Indiana,46438,455
0100000US,,United States,0400000US23,23,33,Maine,46033,802
0100000US,,United States,0400000US13,13,34,Georgia,46007,454
0100000US,,United States,0400000US26,26,35,Michigan,45981,330
0100000US,,United States,0400000US39,39,36,Ohio,45749,319
0100000US,,United States,0400000US29,29,37,Missouri,45247,529
0100000US,,United States,0400000US12,12,38,Florida,44299,406
0100000US,,United States,0400000US30,30,39,Montana,44222,1078
0100000US,,United States,0400000US37,37,40,North Carolina,43916,519
0100000US,,United States,0400000US16,16,41,Idaho,43341,1320
0100000US,,United States,0400000US40,40,42,Oklahoma,43225,607
0100000US,,United States,0400000US45,45,43,South Carolina,42367,559
0100000US,,United States,0400000US35,35,44,New Mexico,41963,803
0100000US,,United States,0400000US22,22,45,Louisiana,41734,528
0100000US,,United States,0400000US47,47,46,Tennessee,41693,423
0100000US,,United States,0400000US01,01,47,Alabama,41415,550
0100000US,,United States,0400000US21,21,48,Kentucky,41141,464
0100000US,,United States,0400000US05,05,49,Arkansas,38758,761
0100000US,,United States,0400000US54,54,50,West Virginia,38482,875
0100000US,,United States,0400000US28,28,51,Mississippi,36919,583
0100000US,,United States,0400000US72,72,,Puerto Rico,18660,358
