,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2011,14.3,20.1,17.2,17.1,18.1,15.1,8.8,9.4,6.9,20.9,19.6,7.1,16.5,13.1,14.5,8.9,12.6,14.4,17.5,10.7,10.4,4.3,11.8,8.8,17.7,13.7,18.3,11.4,21.9,10.5,13.1,19.8,11.4,16.3,9.8,11.9,18.7,15.7,10.1,10.8,16.7,11.9,14.6,23.0,15.3,6.6,12.5,14.2,14.9,9.0,15.4,7.6
2012,13.3,20.5,17.6,16.4,17.9,14.7,9.1,8.8,5.9,20.1,18.4,6.9,16.2,12.8,14.3,8.4,12.6,13.9,16.9,10.2,10.3,3.9,11.4,8.0,17.0,13.6,18.0,11.3,22.2,10.6,12.7,18.4,10.9,16.6,10.0,11.5,18.4,14.9,9.8,11.1,16.8,11.5,13.9,22.5,14.5,6.5,12.5,13.9,14.4,9.0,15.4,7.2
2013,13.6,18.5,17.1,16.0,17.2,14.1,9.4,9.1,6.7,20.0,18.8,6.7,16.2,12.7,14.0,8.1,12.3,14.3,16.6,11.2,10.2,3.7,11.0,8.2,17.1,13.0,16.5,11.3,20.7,10.7,13.2,18.6,10.7,15.6,10.4,11.0,17.7,14.7,9.7,11.6,15.8,11.3,13.9,22.1,14.0,7.2,12.3,14.0,14.0,9.1,13.4,6.4
2014,12.1,17.2,13.6,11.8,12.4,10.3,6.9,7.8,5.3,16.6,15.8,5.3,13.6,9.7,11.9,6.2,10.2,8.5,14.8,10.1,7.9,3.3,8.5,5.9,14.5,11.7,14.2,9.7,15.2,9.2,10.9,14.5,8.7,13.1,7.9,8.4,15.4,9.7,8.5,7.4,13.6,9.8,12.0,19.1,12.5,5.0,10.9,9.2,8.6,7.3,12.0,6.1
2015,10.1,14.9,10.8,9.5,8.6,8.1,6.0,5.9,3.8,13.3,13.9,4.0,11.0,7.1,9.6,5.0,9.1,6.0,11.9,8.4,6.6,2.8,6.1,4.5,12.7,9.8,11.6,8.2,12.3,6.3,8.7,10.9,7.1,11.2,7.8,6.5,13.9,7.0,6.4,5.7,10.9,10.2,10.3,17.1,10.5,3.8,9.1,6.6,6.0,5.7,11.5,5.7
2016,9.1,14.0,10.0,7.9,7.3,7.5,4.9,5.7,3.9,12.5,12.9,3.5,10.1,6.5,8.1,4.3,8.7,5.1,10.3,8.0,6.1,2.5,5.4,4.1,11.8,8.9,8.1,8.6,11.4,5.9,8.0,9.2,6.1,10.4,7.0,5.6,13.8,6.2,5.6,4.3,10.0,8.7,9.0,16.6,8.8,3.7,8.7,6.0,5.3,5.3,11.5,6.2
