GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
GRT_STUB.target-geo-id,Target Geo Id
GRT_STUB.target-geo-id2,Target Geo Id2
GRT_STUB.rank-label,Rank
GRT_STUB.display-label,Geographical Area
EST,Dollar
MOE,Margin of Error
