GEO.id,GEO.id2,GEO.display-label,GRT_STUB.target-geo-id,GRT_STUB.target-geo-id2,GRT_STUB.rank-label,GRT_STUB.display-label,EST,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Rank,Geographical Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,,United States,53657,93
0100000US,,United States,0400000US24,24,1,Maryland,73971,867
0100000US,,United States,0400000US34,34,2,New Jersey,71919,438
0100000US,,United States,0400000US11,11,3,District of Columbia,71648,1996
0100000US,,United States,0400000US02,02,4,Alaska,71583,1784
0100000US,,United States,0400000US09,09,5,Connecticut,70048,828
0100000US,,United States,0400000US15,15,6,Hawaii,69592,1456
0100000US,,United States,0400000US25,25,7,Massachusetts,69160,957
0100000US,,United States,0400000US33,33,8,New Hampshire,66532,1297
0100000US,,United States,0400000US51,51,9,Virginia,64902,624
0100000US,,United States,0400000US06,06,10,California,61933,238
0100000US,,United States,0400000US27,27,11,Minnesota,61481,471
0100000US,,United States,0400000US53,53,12,Washington,61366,485
0100000US,,United States,0400000US08,08,13,Colorado,61303,487
0100000US,,United States,0400000US49,49,14,Utah,60922,658
0100000US,,United States,0400000US10,10,15,Delaware,59716,1674
0100000US,,United States,0400000US38,38,16,North Dakota,59029,1681
0100000US,,United States,0400000US36,36,17,New York,58878,393
0100000US,,United States,0400000US17,17,18,Illinois,57444,429
0100000US,,United States,0400000US56,56,19,Wyoming,57055,1983
0100000US,,United States,0400000US44,44,20,Rhode Island,54891,1488
0100000US,,United States,0400000US50,50,21,Vermont,54166,1724
0100000US,,United States,0400000US19,19,22,Iowa,53712,761
0100000US,,United States,0400000US42,42,23,Pennsylvania,53234,420
0100000US,,United States,0400000US48,48,24,Texas,53035,377
0100000US,,United States,0400000US31,31,25,Nebraska,52686,688
0100000US,,United States,0400000US55,55,26,Wisconsin,52622,433
0100000US,,United States,0400000US20,20,27,Kansas,52504,706
0100000US,,United States,0400000US32,32,28,Nevada,51450,683
0100000US,,United States,0400000US41,41,29,Oregon,51075,490
0100000US,,United States,0400000US46,46,30,South Dakota,50979,1027
0100000US,,United States,0400000US04,04,31,Arizona,50068,483
0100000US,,United States,0400000US26,26,32,Michigan,49847,385
0100000US,,United States,0400000US23,23,33,Maine,49462,1112
0100000US,,United States,0400000US18,18,34,Indiana,49446,487
0100000US,,United States,0400000US13,13,35,Georgia,49321,543
0100000US,,United States,0400000US39,39,36,Ohio,49308,363
0100000US,,United States,0400000US29,29,37,Missouri,48363,567
0100000US,,United States,0400000US16,16,38,Idaho,47861,1275
0100000US,,United States,0400000US40,40,39,Oklahoma,47529,454
0100000US,,United States,0400000US12,12,40,Florida,47463,329
0100000US,,United States,0400000US37,37,41,North Carolina,46556,381
0100000US,,United States,0400000US30,30,42,Montana,46328,1217
0100000US,,United States,0400000US45,45,43,South Carolina,45238,507
0100000US,,United States,0400000US35,35,44,New Mexico,44803,849
0100000US,,United States,0400000US22,22,45,Louisiana,44555,738
0100000US,,United States,0400000US47,47,46,Tennessee,44361,561
0100000US,,United States,0400000US21,21,47,Kentucky,42958,697
0100000US,,United States,0400000US01,01,48,Alabama,42830,598
0100000US,,United States,0400000US05,05,49,Arkansas,41262,653
0100000US,,United States,0400000US54,54,50,West Virginia,41059,651
0100000US,,United States,0400000US28,28,51,Mississippi,39680,773
0100000US,,United States,0400000US72,72,,Puerto Rico,18928,367
